"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SAMMAANCAP","EQ","13-Feb-2025","125.32","126.25","130.09","124.50","125.05","125.32","127.33","81,10,445","1,03,26,81,381.94","74,378","35,96,699","44.35"
"SAMMAANCAP","EQ","14-Feb-2025","125.32","126.10","126.95","118.53","122.10","122.19","122.74","1,30,62,718","1,60,33,48,431.73","80,876","62,86,582","48.13"
"SAMMAANCAP","EQ","17-Feb-2025","122.19","122.19","125.77","119.60","122.00","121.43","122.47","1,17,36,949","1,43,74,59,769.45","60,075","52,03,346","44.33"
"SAMMAANCAP","EQ","18-Feb-2025","121.43","122.00","123.19","115.11","117.00","117.93","118.43","68,23,503","80,81,27,458.85","43,906","31,18,546","45.70"
"SAMMAANCAP","EQ","19-Feb-2025","117.93","118.07","123.79","116.88","123.05","122.75","122.19","72,67,169","88,79,39,767.80","42,732","35,30,061","48.58"
"SAMMAANCAP","EQ","20-Feb-2025","122.75","122.00","124.74","121.06","121.20","121.48","122.91","54,98,523","67,58,13,067.58","30,909","30,80,234","56.02"
"SAMMAANCAP","EQ","21-Feb-2025","121.48","121.48","124.37","117.80","118.76","119.33","120.19","86,35,899","1,03,79,55,949.55","45,692","43,26,109","50.09"
"SAMMAANCAP","EQ","24-Feb-2025","119.33","119.34","119.84","115.81","116.20","116.59","117.12","68,58,958","80,33,05,544.13","29,297","37,36,677","54.48"
"SAMMAANCAP","EQ","25-Feb-2025","116.59","116.10","118.50","113.00","114.00","113.65","115.98","56,54,325","65,58,06,890.65","42,284","29,45,286","52.09"
"SAMMAANCAP","EQ","27-Feb-2025","113.65","114.07","115.70","111.50","112.00","112.24","113.24","89,41,345","1,01,25,54,975.06","46,664","46,34,860","51.84"
